date,station_name,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,wind_speed,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,total_cyano_genes,mcye_genes,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
8/2/2022,WE16,6.14,0.75,Surface,10:01,41.6623,-83.1459,5.83,mostly clear,2.5,24.6,240.8,2.2,57.9,7.69,710.9,2.1,0.13,0.25,5.37,14.62,53224,67,22.13,11.34,1.57,7.68,0.782,1.15,0.16,0.32,3.96,3
8/9/2022,WE2,5.29,0.75,Surface,13:26,41.7627,-83.329,3.89,overcast,0.5,26.1,283.7,6.3,20.6,7.73,273,28.3,5.17,0.43,66.81,170.9,847204,<100,86.06,11.52,4.1,9.25,0.434,8.17,1.35,1.8,23.12,17.64
8/9/2022,WE2,,5.5,Bottom,,,,,,,25.8,279.7,6.2,21,7.59,0,,3.7,0.22,50.69,96.28,,,,,,,,,,,,
8/9/2022,WE4,8.62,0.75,Surface,9:32,41.8269,-83.194,9.91,overcast,1.5,25.6,246.1,3.3,43.8,7.08,661.9,9.68,2.01,1.04,22.4,49.05,261149,<100,37.72,13.02,2.94,11.29,0.075,2.8,0.41,0.71,9.24,5.56
8/9/2022,WE6,2.75,0.75,Surface,12:16,41.7057,-83.3848,5.83,overcast,0.5,26,314.8,9.8,8.6,7.37,352.3,29.9,7.53,0.35,53.48,143.42,1128824,<100,120.92,26.44,8.95,4.74,0.684,7.01,1.25,2.47,28.76,14.92
8/9/2022,WE8,5.12,0.75,Surface,8:45,41.8341,-83.3601,12.05,overcast,1,25.7,254.7,4.2,35,7.55,209.9,12,1.7,0.43,22.93,64.06,180612,6,44.18,12.94,2.91,3.65,0.282,4.4,0.62,1.12,12.48,6.56
8/9/2022,WE8,,4.2,Bottom,,,,,,,25.8,255.2,4,36.7,7.26,0.7,,2.6,0.12,24.27,56.15,,,,,,,,,,,,
8/9/2022,WE9,2.32,0.75,Surface,12:44,41.7181,-83.4239,5.83,overcast,0.5,25.9,314.8,11.3,5.9,7.42,431.1,28.2,4.99,0.21,38.16,122.3,411068,<100,120.41,21.96,8.86,5.96,0.833,5.35,1.1,2.44,28.44,12.56
8/9/2022,WE12,6.63,0.75,Surface,11:30,41.7043,-83.2532,5.83,overcast,1.5,25.6,232.2,3.5,42.1,7.63,885.3,3.83,0.86,0.18,6.27,20.41,128459,<100,25.34,5.89,1.83,5.44,0.078,1.39,0.16,0.37,5.56,2.4
8/9/2022,WE12,,5.8,Bottom,,,,,,,25.8,233,2.8,49.5,7.71,19.1,,0.64,0.44,5.17,20.22,,,,,,,,,,,,
8/9/2022,WE13,8.77,0.75,Surface,10:16,41.7439,-83.1344,8.94,overcast,1.5,25.5,231.8,3.1,45.6,7.65,634.6,5.39,0.89,0.26,12.44,21.58,67579,<100,23.14,7.63,1.86,4.76,0.034,1.42,0.2,0.31,6.88,2.44
8/9/2022,WE13,,8.2,Bottom,,,,,,,25.6,232.3,3.2,45.2,7.53,1.2,,0.79,0.14,9.05,20.54,,,,,,,,,,,,
8/9/2022,WE16,6.02,0.75,Surface,10:56,41.66,-83.1447,7.78,overcast,2,25.6,231.7,2.2,57.9,7.22,698.9,2.92,0.63,0.1,2.12,12.75,50615,<100,25.14,8.68,2.29,13.69,0.109,0.89,0.13,0.24,3.6,0.8
8/17/2022,WE2,5.8,0.75,Surface,13:14,41.7626,-83.3289,5.83,clear,0.5,24.1,291.8,10.4,7.6,7.94,541.7,31.5,7.32,0.52,114.6,125.49,304852,96,106.94,16.64,4.6,6.71,0.376,7.53,1.41,1.97,30.1,14.2
8/17/2022,WE2,,4.8,Bottom,,,,,,,23.5,294.4,10,8.2,8.82,0,,5.39,0.42,83.89,100.01,,,,,,,,,,,,
8/17/2022,WE4,8.6,0.75,Surface,9:00,41.8267,-83.1939,11.08,clear,1.5,23.7,239.8,3.8,40,7.91,1453.5,6.42,1.79,0.22,26.43,37.25,144813,40,29.62,9.45,2.65,5.83,0.052,2.16,0.34,0.56,9.1,2.7
8/17/2022,WE6,3.2,0.75,Surface,12:06,41.7061,-83.3842,9.72,clear,0.5,23.5,239.5,9.7,9,8.45,338,20.5,5.19,0.24,27.74,50.23,183880,116,36.29,10.43,,,,3.56,0.44,0.83,25.3,5.5
8/17/2022,WE8,5.1,0.75,Surface,8:12,41.8353,-83.3583,14,clear,0.5,23.8,253.7,7.8,14.1,7.69,354.5,25.6,2.33,0.35,70.15,92.09,307168,204,65.2,12.45,1.6,3.97,0.416,5.05,0.8,1.2,26.5,15
8/17/2022,WE8,,4.1,Bottom,,,,,,,23.8,254.1,7.8,14.1,7.93,0,,9.63,0.34,70.71,87.63,,,,,,,,,,,,
8/17/2022,WE9,2.7,0.75,Surface,12:33,41.718,-83.423,7.78,clear,0.25,24.3,409.8,15.1,2.3,8.61,228.2,33,2.75,0.35,110.32,152.79,1176776,112,223.12,48.54,,,,7.17,1.33,3.62,35.8,14.2
8/17/2022,WE12,6.8,0.75,Surface,10:59,41.7028,-83.2516,7.78,mostly clear,0.5,23.1,264.3,15.3,2.2,7.94,448,34.9,0.56,0.41,85.22,84.18,394488,312,84.29,16.89,4.2,3.45,0.019,5.77,0.88,1.43,38.2,15.1
8/17/2022,WE12,,5.8,Bottom,,,,,,,23.1,267.6,18.4,1,7.5,0,,0.68,0.46,78.1,89.73,,,,,,,,,,,,
8/17/2022,WE13,9.2,0.75,Surface,9:42,41.7464,-83.1364,11.08,clear,1,24,231.9,4.8,29.7,6.94,1095.1,8,0.43,0.2,5.86,17.75,51447,45,27.17,7.21,2.34,4.98,0.026,1.01,0.16,0.37,10.3,2.7
8/17/2022,WE13,,8.2,Bottom,,,,,,,24,232.5,4.9,29.1,7.31,0.3,,0.4,0.13,9.82,17.16,,,,,,,,,,,,
8/17/2022,WE16,6.3,0.75,Surface,10:24,41.661,-83.1436,9.72,clear,1.5,23.7,245.6,4.5,32.9,8.03,1955.6,7.01,0.25,0.17,30.66,27.63,82004,94,34.76,18.45,1.59,6.47,0.095,2.2,0.34,0.51,10.9,5.5
8/23/2022,WE2,5.4,0.75,Surface,13:38,41.762,-83.3311,1.94,partly cloudy,0.25,24.8,267.6,9.4,9.5,12.02,738.3,31.3,2.8,0.55,119.84,127.86,302648,92,77.84,16.35,4.83,7.58,0.084,7.22,1.08,1.78,28.6,15
8/23/2022,WE2,,4.4,Bottom,,,,,,,24.2,268,7.2,16.4,10.75,0,,1.58,0.53,106.24,91.09,,,,,,,,,,,,
8/23/2022,WE2,5.4,0,Scum,,,,,,,,,,,,,,9.29,2.81,444.86,533.26,,,,,,,,,,,,
8/23/2022,WE4,8.5,0.75,Surface,9:20,41.8275,-83.1947,5.05,mostly clear,2,23.8,247.1,2.4,55.3,7.51,918.8,4.79,0.57,0.19,17.93,20.51,87051,21,35.78,10.16,2.63,15.37,0.097,1.47,0.2,0.5,7.2,1
8/23/2022,WE6,3,0.75,Surface,12:10,41.7054,-83.3848,0,partly cloudy,0.25,23.9,344.1,10.8,6.7,11.78,540.6,36.9,2.2,0.39,191.16,190.19,703608,80,132.52,21.24,7.88,11.43,<0.002,7.63,1.49,3.26,30.4,16.6
8/23/2022,WE6,3,0,Scum,,,,,,,,,,,,,,22.06,0.77,1142.34,1681.29,,,,,,,,,,,,
8/23/2022,WE8,4.9,0.75,Surface,8:26,41.8359,-83.3609,5.05,mostly clear,0.75,24.6,259.4,6.9,17.9,7.1,97.2,18.5,1.65,0.36,42.05,72.16,311680,132,75.56,14.6,4.49,6.12,0.781,4.92,0.69,1.35,22.7,11.6
8/23/2022,WE8,,3.9,Bottom,,,,,,,24.5,258.8,6.9,18,5.37,0,,1.28,0.39,48.62,73.53,,,,,,,,,,,,
8/23/2022,WE9,2.6,0.75,Surface,12:49,41.7178,-83.4237,1.94,partly cloudy,0.5,25.4,532.4,10.5,7.3,6.94,818.1,21.9,1.31,0.36,92.17,107.84,734496,36,195.59,80.91,49.15,116.73,0.005,4.85,0.84,3.92,22.2,8.8
8/23/2022,WE9,2.6,0,Scum,,,,,,,,,,,,,,14.82,0.99,570.98,873.99,,,,,,,,,,,,
8/23/2022,WE12,6.6,0.75,Surface,11:20,41.7035,-83.2538,1.94,mostly clear,1,24.5,239.2,4.6,32,7.87,345.7,10.2,1.06,0.34,20.6,32.11,177300,66,55.06,12.88,3.03,13.82,<0.002,2.33,0.3,0.88,11.6,3.8
8/23/2022,WE12,,5.6,Bottom,,,,,,,23.9,240,4.7,30.7,7,1.9,,0.81,0.23,14.77,32.7,,,,,,,,,,,,
8/23/2022,WE13,9,0.75,Surface,10:04,41.7432,-81.1358,4.08,mostly clear,1.25,24.3,233.3,4.1,35.9,7.42,601.8,8.71,0.65,0.18,21.35,27.69,190736,46,47,12.82,3.43,3.02,<0.002,2.05,0.27,0.63,9.8,2
8/23/2022,WE13,,8,Bottom,,,,,,,24.1,233.7,5,28.7,6,0.2,,0.53,0.17,14.75,24.9,,,,,,,,,,,,
8/23/2022,WE16,6.1,0.75,Surface,10:46,41.6594,-83.1442,3.89,mostly clear,1.25,24.3,239.2,4,36.4,7.32,1320.7,5.95,0.69,0.48,10,21,90614,102,41.3,13,2.69,4.53,<0.002,1.66,0.22,0.55,9.6,1.6
8/23/2022,2022.1,4.3,0,Scum,13:18,41.7334,-83.3849,1.94,,,,,,,,,,22.71,4.66,862.74,1246.05,,,,,,,,,,,,
8/29/2022,WE2,5.15,0.75,Surface,12:35,41.761,-83.3321,11.66,mostly clear,0.5,24.2,256.5,8.8,11,7.65,502.2,22.5,2.09,0.67,,86.72,274288,124,85.27,13.83,6.59,5.22,<0.002,5.58,0.83,1.51,20.84,12.08
8/29/2022,WE2,,4.2,Bottom,,,,,,,24.1,255.8,8.7,11.2,6.94,0,,2,0.56,,85.09,,,,,,,,,,,,
8/29/2022,WE4,7.93,0.75,Surface,9:04,41.8262,-83.2032,20.99,overcast,2.5,24.2,229.7,1.9,61.5,7.28,176.6,2.07,0.3,0.4,,6.41,11520,22,31.5,7.56,3.88,13.23,0.173,0.66,0.11,0.24,3,2.16
8/29/2022,WE6,2.73,0.75,Surface,11:37,41.7053,-83.3857,13.61,overcast,0.5,24.1,312.7,10.8,6.7,7.57,403.2,34.1,4.46,0.44,,136.5,600232,192,105.28,21.74,9.08,3.4,0.006,6.99,1.15,2.34,30.1,19
8/29/2022,WE8,4.4,0.75,Surface,8:19,41.8347,-83.362,19.05,overcast,0.5,24.6,256.7,8.2,12.9,7.33,30,24.3,2.57,0.3,,79.35,268832,88,77.32,13.77,5.37,2.39,<0.002,5.25,0.8,1.27,21.24,12.24
8/29/2022,WE8,,3.7,Bottom,,,,,,,24.6,256.2,8.1,13.4,7.4,0,,2.75,0.49,,85.36,,,,,,,,,,,,
8/29/2022,WE9,2.31,0.75,Surface,11:58,41.7173,-83.4246,7.78,mostly cloudy,0.5,24.6,364.2,12.3,4.6,7.79,396.3,32.4,4.28,0.57,,156.16,1115664,192,147.51,22.44,6.39,2.41,0.003,6.18,1.36,2.81,32.9,15.8
8/29/2022,WE12,6.33,0.75,Surface,9:55,41.7035,-83.2578,9.72,overcast/drizzle,0.75,24,243.6,6.5,19.5,7.08,129.3,15.2,0.86,0.31,,47.5,254584,88,59.42,14.78,5.07,1.84,<0.002,3.47,0.5,1.15,14.48,8.24
8/29/2022,WE12,,5.5,Bottom,,,,,,,24,244,6.5,19.8,6.46,0,,0.61,0.36,,48.59,,,,,,,,,,,,
9/6/2022,WE2,5.49,0.75,Surface,12:48,41.7637,-83.328,9.72,overcast,0.75,23.1,250.9,7.5,15.4,7.13,485.7,15.8,0.97,0.26,45.94,52.89,551819,130,69.51,14.25,6.24,3.18,<0.002,3.38,0.64,0.93,17,6.7
9/6/2022,WE2,,4.6,Bottom,,,,,,,23.2,250.9,7.3,16,6.78,0.1,,0.96,0.37,47.18,51.63,,,,,,,,,,,,
9/6/2022,WE4,8.56,0.75,Surface,9:00,41.8282,-83.1919,13.02,overcast,2.5,23.2,230.7,2.8,50.4,7.02,404.6,3.1,0.14,0.12,0.23,5.16,9781,6,25.88,6.62,4.06,21.85,0.205,0.36,0.06,0.21,4.8,2.3
9/6/2022,WE6,2.86,0.75,Surface,11:43,41.7083,-83.382,9.72,overcast,0.25,22.4,318.4,19.3,0.8,7.6,352.4,50.2,1.94,0.38,54.51,115.05,540480,120,173.6,22.31,6.33,2.56,<0.002,7.69,1.08,2.33,59.7,20.8
9/6/2022,WE8,4.79,0.75,Surface,8:04,41.835,-83.358,13.02,overcast,0.75,23.1,260.9,8.8,11.3,6.16,106.1,18.5,1.71,0.36,55.45,69.13,572228,76,77.91,13.8,5.29,9.02,<0.002,4.52,0.71,1.19,22.7,11.2
9/6/2022,WE8,,4.2,Bottom,,,,,,,23.4,259.2,8.5,11.9,6.07,0,,1.9,0.66,37.94,75.66,,,,,,,,,,,,
9/6/2022,WE9,2.49,0.75,Surface,12:09,41.7183,-83.4222,11.66,overcast,0.25,22.5,305.5,16.6,1.6,7.32,139.1,37.2,0.6,0.65,47.4,96.48,1025720,88,172.68,24.96,12.05,5.18,<0.002,4.51,0.81,2.01,48.4,15.6
9/6/2022,WE12,6.57,0.75,Surface,10:53,41.705,-83.2517,9.72,overcast,0.5,22.7,277.5,10.5,7.4,6.12,413.3,21,0.62,0.45,49.19,67.96,590652,40,114.66,18.83,8.12,10.08,<0.002,3.99,0.64,,22.5,11
9/6/2022,WE12,,7.8,Bottom,,,,,,,23.2,280,10.3,7.7,6.03,0,,0.38,0.39,48.06,69.18,,,,,,,,,,,,
9/6/2022,WE13,8.91,0.75,Surface,9:40,41.7468,-83.1351,15.94,overcast,1,23.5,236.2,6.5,20.2,7.45,466,11.3,0.47,0.19,13.38,26.26,269538,157,35.25,7.71,4.85,2.66,0.037,1.35,0.27,0.48,10.6,5
9/6/2022,WE13,,8.2,Bottom,,,,,,,23.5,236.9,6.2,21,7.14,0,,0.56,0.23,16.5,24.77,,,,,,,,,,,,
9/6/2022,WE16,6.03,0.75,Surface,10:08,41.6618,-83.1456,9.72,overcast,0.75,23.2,240.7,7.6,14.8,7.21,169.9,12.1,0.53,0.31,10.82,29.38,212310,106,53.53,8.18,3.23,1.03,<0.002,2.51,0.36,0.68,19.2,6.8
9/12/2022,WE2,3.12,0.75,Surface,12:54,41.7618,-83.333,13.61,overcast,0.75,22.6,259.5,11,6.8,7.78,612,12.7,0.27,0.28,38.29,55.48,2123397,16,59.61,15.99,4.9,5.24,<0.002,2.31,0.41,1.07,16.25,5.9
9/12/2022,WE2,,4.2,Bottom,,,,,,,22.6,259.2,7.3,15.9,7.25,20.9,,0.28,0.3,32.69,49.43,,,,,,,,,,,,
9/12/2022,WE4,7.9,0.75,Surface,9:02,41.8257,-83.1986,13.61,overcast,1.5,23.1,244.2,3.7,39.2,7.44,51.2,7.27,0.69,0.24,14.56,24.51,183267,17,41.38,9.03,3.06,7.65,0.073,1.19,0.24,0.39,7.63,3.1
9/12/2022,WE6,2.56,0.75,Surface,11:49,41.7051,-83.3854,15.55,overcast,0.5,22.2,305,11.5,5.6,6.75,565.2,25.2,1.19,0.35,83.75,106.28,1244196,20,117.51,19.86,5.61,4.8,0.007,4.14,0.79,1.82,28.73,12.27
9/12/2022,WE8,4.5,0.75,Surface,8:11,41.8351,-83.3576,9.72,overcast,0.5,23.5,270.1,10.2,7.7,7.29,68.8,20.5,0.65,0.35,91.02,78.98,638976,20,100.08,19.35,4.62,6.51,0.003,3.89,0.74,1.34,23.3,10.15
9/12/2022,WE8,,3.9,Bottom,,,,,,,23.5,270.1,10,8.2,6.24,0,,0.83,0.66,97.97,77.37,,,,,,,,,,,,
9/12/2022,WE9,2.15,0.75,Surface,12:14,41.7174,-83.4251,15.55,overcast,0.5,22.9,350.3,17.5,1.3,6.62,179.9,32.1,1.04,0.31,87.01,112.13,1909580,<100,145.16,24.4,8.74,10.54,0.077,4.81,0.87,2.18,38.6,10
9/12/2022,WE12,6.57,0.75,Surface,11:00,41.7026,-83.2585,13.61,overcast,1,22.7,248.7,5.8,23.3,6.99,388.4,8.43,0.15,0.24,9.85,30.42,386264,2,48.58,15.26,4.24,5.31,0.006,1.69,0.29,0.73,9.83,3.77
9/12/2022,WE12,,5.4,Bottom,,,,,,,22.8,249.2,5.7,24.1,6.2,0.8,,0.15,0.25,11.38,30.03,,,,,,,,,,,,
9/12/2022,WE13,8.59,0.75,Surface,9:41,41.7424,-83.139,13.61,overcast,1,23.1,241.4,6,22,7.41,391.8,9.66,0.15,0.13,16.48,28.28,453604,8,52.26,14.48,4.69,1.6,0.023,1.68,0.25,0.5,10.57,3.17
9/12/2022,WE13,,7.7,Bottom,,,,,,,23.2,241.9,6,22.3,7.44,0,,0.14,0.12,12.55,27.5,,,,,,,,,,,,
9/12/2022,WE16,5.83,0.75,Surface,10:19,41.662,-83.1499,13.61,overcast,2,23.1,239.9,3.1,46.2,6.95,327.2,4.62,<0.1,0.18,2.99,13.91,73193,4,30.24,8.64,1.91,0.42,<0.002,1,0.14,0.42,5.65,2.6
9/19/2022,WE2,4.98,0.75,Surface,13:53,41.7634,-83.3322,3.89,partly cloudy,1,23.3,254.1,5.1,27.9,7.77,288.4,7.64,0.53,0.42,7.54,23.21,452020,<100,38.59,12.27,1.15,1.58,0.012,1.82,0.2,0.84,9.48,4.24
9/19/2022,WE2,,4.4,Bottom,,,,,,,22.4,252,5.8,23.4,7.27,10.2,,0.11,0.33,3.98,29.97,,,,,,,,,,,,
9/19/2022,WE4,7.9,0.75,Surface,9:59,41.8266,-83.1997,7.78,mostly clear,1.5,22.5,246.4,3.5,42,7.85,232,5.53,0.3,0.34,23.92,36.4,496999,<100,23.29,10.38,2.33,2.5,0.119,1.4,0.22,0.38,6.56,3.6
9/19/2022,WE6,2.56,0.75,Surface,12:48,41.706,-83.3863,5.83,mostly cloudy,0.75,22.7,342.8,6.2,21,7.88,269.8,12.7,1.02,0.32,58.46,54.89,2277941,<100,65.95,18.85,6.15,3.18,0.017,2.73,0.46,,13.36,6.88
9/19/2022,WE8,4.62,0.75,Surface,9:10,41.8362,-83.3571,7.78,mostly clear,0.75,22.2,279.4,6.8,18.3,7.15,119.9,12.8,0.26,0.52,31.04,64.11,2077264,<100,63.77,13.69,1.94,4.34,0.015,2.67,0.48,,15.3,6.2
9/19/2022,WE8,,3.9,Bottom,,,,,,,22.1,279.4,6.8,18.2,5.52,0.1,,0.17,0.43,36.37,62.3,,,,,,,,,,,,
9/19/2022,WE9,2.1,0.75,Surface,13:13,41.7183,-83.4248,3.89,cloudy,0.5,22.6,323.5,11.4,5.8,7.8,189.3,19.2,0.34,0.44,63.25,94.82,1694608,<100,105.82,17.42,2.98,6.26,0.051,3.64,0.68,,26,11.9
9/19/2022,WE12,6.19,0.75,Surface,12:01,41.7022,-83.2572,7.78,mostly clear,1,22.7,247.5,5.3,26.8,7.2,698.2,7.33,<0.1,0.28,3.51,19.11,917720,<100,39.63,12.27,2.7,0.45,0.012,1.35,0.2,0.72,9.92,3.52
9/19/2022,WE12,,5.4,Bottom,,,,,,,23.3,247.3,5.8,23.8,6.53,3.1,,<0.1,0.34,2.04,21,,,,,,,,,,,,
9/19/2022,WE13,8.53,0.75,Surface,10:41,41.7456,-83.1409,9.72,mostly clear,1,22.5,245.3,5.8,23.2,7.87,487.1,10.2,0.11,0.24,13.94,31.27,915828,<100,31.91,12.16,1.83,bdl,0.016,1.47,0.22,0.56,10.92,3.6
9/19/2022,WE13,,7.8,Bottom,,,,,,,22.5,245.8,6,22.5,7.43,0,,0.15,0.33,7.52,28.6,,,,,,,,,,,,
9/19/2022,WE16,5.93,0.75,Surface,11:19,41.6645,-83.1503,7.78,clear,1.75,22.5,247.3,3,46.9,7.36,279,3.96,<0.1,0.23,1.9,12.39,415285,<100,25.64,10.32,2.24,0.27,0.008,0.77,0.09,0.49,4.96,2.12
9/30/2022,WE2,5.49,0.75,Surface,12:43,41.7636,-83.3293,7.78,mostly sunny,0.75,17.2,252.6,9,14.9,8.48,591.5,10.2,<0.1,0.15,4.75,12.52,302260,<100,39.76,16.4,5.77,16.44,0.136,1.06,0.18,0.5,15.48,
9/30/2022,WE2,,4.7,Bottom,,,,,,,17.3,253.6,6.6,19.4,7.96,1.6,,<0.1,0.2,7.14,12.53,,,,,,,,,,,,
9/30/2022,WE4,8.35,0.75,Surface,10:07,41.8277,-83.1931,14,mostly sunny,2.5,16.7,229,3.9,44.2,7.99,940.7,2.38,<0.1,0.19,0.09,3.13,22180,<100,15.69,12.37,6.17,23.39,0.23,0.37,0.05,0.32,2.92,
9/30/2022,WE6,3.01,0.75,Surface,11:44,41.7066,-83.3834,11.66,mostly sunny,0.5,15.8,278.6,7.6,14.8,8.36,1275.4,13.9,<0.1,0.34,6.24,18.98,601776,<100,64.91,31.42,12.74,15.47,0.075,1.54,0.25,0.87,22.7,
9/30/2022,WE8,4.83,0.75,Surface,9:11,41.8384,-83.358,15.94,mostly sunny,0.5,16.5,290.4,7.9,14,9.51,1095,14.5,0.14,0.27,62.12,35.88,1708645,11,70.59,17.45,2.4,7.31,0.011,2.42,0.44,1.28,16.7,
9/30/2022,WE8,,4.1,Bottom,,,,,,,16.6,290.2,6.8,18.1,8.36,0.2,,0.11,0.14,112.69,45.39,,,,,,,,,,,,
9/30/2022,WE9,2.52,0.75,Surface,12:08,41.7189,-83.4225,7.78,mostly sunny,0.5,16.3,291.2,8.5,13.3,8.7,596.9,15.1,<0.1,0.45,122.27,24.25,1043915,<100,89.67,23.89,7.66,12.1,0.03,1.95,0.34,1.15,18.1,
9/30/2022,WE12,6.66,0.75,Surface,10:58,41.7058,-83.2556,13.61,mostly sunny,0.5,16.7,268.2,7.8,14.3,9.13,536.9,11.8,<0.1,0.27,5.25,8.31,73060,<100,62.82,37.06,21.03,65.91,0.066,1.17,0.17,0.94,14.3,
9/30/2022,WE12,,5.8,Bottom,,,,,,,16.7,268.5,8.1,13.3,7.46,0,,<0.1,0.16,8.12,7.85,,,,,,,,,,,,
10/3/2022,WE2,5.53,0.75,Surface,13:39,41.7636,-83.329,9.72,clear,1,16.3,275.8,13,3.9,8.29,1645.4,19.2,0.15,0.4,137.42,51.33,1859244,<100,98.95,17.45,3.78,4.27,0.009,3.09,0.63,1.24,28.6,
10/3/2022,WE2,,4.7,Bottom,,,,,,,16.2,295.9,12.2,4.8,7.29,0,,<0.1,0.37,42.24,103.35,,,,,,,,,,,,
10/3/2022,WE4,8.29,0.75,Surface,10:16,41.8283,-83.1934,14.97,clear,1,16.5,265.1,6.3,20.6,8.49,1840,7.61,<0.1,0.24,0.86,2.68,20874,<100,50.19,23.59,10.73,66.65,0.173,0.71,0.11,0.57,13.12,
10/3/2022,WE6,2.92,0.75,Surface,12:28,41.7065,-83.383,9.72,clear,0.25,15.6,272.5,20.4,0.6,9.3,926.7,26.5,<0.1,0.4,6.74,16.45,195014,<100,99.92,27.15,10.97,35.01,0.07,2.05,0.35,0.87,51.52,
10/3/2022,WE8,5.01,0.75,Surface,9:14,41.8354,-83.354,14.97,clear,0.5,15.9,277.8,12.6,4.8,8.75,716.3,12.7,0.12,0.45,9.19,10.87,109780,<100,80.06,27.04,10.61,65.93,0.074,2.06,0.42,0.92,31.24,
10/3/2022,WE8,,4.2,Bottom,,,,,,,16,277.6,10.3,7.6,8.24,0,,0.1,0.38,4.73,9.55,,,,,,,,,,,,
10/3/2022,WE9,2.41,0.75,Surface,12:53,41.7192,-83.4232,9.72,clear,0.25,15.3,340.7,20.5,0.6,8.58,1443.3,15.1,0.19,0.29,21.17,40.77,1266726,<100,144.55,32.4,17.59,22.15,0.212,2.52,0.54,1.44,42.24,
10/3/2022,WE12,6.62,0.75,Surface,11:35,41.7073,-83.2541,11.66,clear,1,16.2,266.5,13,3.9,7.95,813.2,20.3,<0.1,0.35,5.39,8.13,65385,<100,77.62,31.2,13.77,36.19,0.086,1.25,0.29,0.64,25.76,
10/3/2022,WE12,,5.9,Bottom,,,,,,,16.2,266,13.5,3.5,7.91,0,,0.1,0.39,2.89,8.14,,,,,,,,,,,,
10/11/2022,WE2,5.43,0.75,Surface,14:23,41.7616,-83.3308,11.66,clear,0.5,14.7,287.3,5.8,23.3,9.82,1161.7,15.4,<0.1,0.28,107.63,54.02,3283312,<100,64.66,11.15,2.51,2.39,0.01,3.34,0.65,0.93,11.64,
10/11/2022,WE2,,4.1,Bottom,,,,,,,14.4,285.8,5.2,27.5,9.98,1.8,,<0.1,0.25,72.66,42.71,,,,,,,,,,,,
10/11/2022,WE4,7.93,0.75,Surface,10:30,41.8246,-83.1971,9.91,partly sunny,2.25,14.4,230.6,2.2,57.1,9.48,1289.2,1.97,<0.1,0.17,0.13,3.67,6834,<100,9.22,3.59,4.26,11.51,0.216,0.33,0.06,0.19,2.2,
10/11/2022,WE6,2.33,0.75,Surface,13:13,41.7037,-83.3872,11.66,clear,1,13.8,325.1,4.1,36,9.28,848.3,8.33,<0.1,0.36,27.15,20.82,1363440,<100,55.67,19.84,7.01,10.03,0.144,1.79,0.32,,6.66,
10/11/2022,WE8,4.47,0.75,Surface,9:22,41.8354,-83.3585,15.94,slightly overcast,1,14.4,256.9,3.9,37.8,9.5,813.2,9.33,<0.1,0.24,28.21,27.24,1344755,<100,42.68,8.86,4.82,4.87,0.149,1.99,0.4,0.72,8.16,
10/11/2022,WE8,,3.8,Bottom,,,,,,,14.4,256.8,3.7,39.2,9.16,16.1,,<0.1,0.21,40.07,28.93,,,,,,,,,,,,
10/11/2022,WE9,2.13,0.75,Surface,13:41,41.717,-83.4239,11.66,clear,0.5,14.3,342.5,8.8,11.2,9.3,1294.6,16.2,<0.1,0.26,19.19,24.31,1034576,<100,69.35,24.31,11.43,34.57,0.193,1.73,0.33,1.35,16.55,
10/11/2022,WE12,6.16,0.75,Surface,12:21,41.7014,-83.2564,11.66,clear,0.75,14.7,273.6,6.5,19.7,9.33,1262.3,11.8,<0.1,0.25,16.57,27.43,816582,<100,45.73,10.8,4.9,1.12,0.068,1.55,0.3,0.72,11.16,
10/11/2022,WE12,,5.4,Bottom,,,,,,,14.6,273.6,6.5,19.6,9.53,0.9,,<0.1,0.29,33.94,28.28,,,,,,,,,,,,
10/11/2022,WE13,8.5,0.75,Surface,11:24,41.7409,-83.1356,7,clear,1,14.7,237.2,4.9,29.7,8.83,1697.2,6.55,<0.1,0.17,1.56,7.38,168788,<100,20.47,4.86,4.37,4.1,0.238,0.61,0.1,,7.23,
10/11/2022,WE13,,7.3,Bottom,,,,,,,14.7,236,4.8,30.4,8.82,0.6,,<0.1,0.14,0.91,5.54,,,,,,,,,,,,
10/24/2022,WE2,4.91,0.75,Surface,13:36,41.7609,-83.3327,5.83,clear,1.5,11.1,275.6,4.2,34.6,10.1,1294.5,9.64,<0.1,0.2,25.47,20.74,2019214,<100,51.84,9.41,6.13,1.82,0.126,1.72,0.34,0.74,8.45,
10/24/2022,WE2,,4.2,Bottom,,,,,,,9.8,273.4,3.1,46.4,10.35,27,,<0.1,0.22,0.68,3.47,,,,,,,,,,,,
10/24/2022,WE4,8.11,0.75,Surface,10:05,41.8256,-83.1945,11.08,clear,2,10.7,261.8,2.6,52.7,9.51,1125.2,2.71,<0.1,0.21,0.79,4.3,140607,107,20.57,10.41,8.41,15,0.237,0.46,0.06,0.49,2.69,
