date,station_name,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,wind_speed,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,total_cyano_genes,mcye_genes,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
6/6/2022,WE8,4.91,0.75,Surface,8:50,41.8371,-83.3592,9.91,overcast,0.5,20.5,337.4,13,3.8,8.17,119.1,25.9,<0.1,<0.1,0.49,48.75,,,69.76,11.61,0.82,8.95,0.437,2.5,0.39,1.34,36.2,7.12
6/6/2022,WE8,,4,Bottom,,,,,,,20.5,337.4,12.6,4.3,7.98,0,,<0.1,<0.1,0.34,46.56,,,,,,,,,,,,
6/6/2022,WE9,2.6,0.75,Surface,13:16,41.717,-83.4246,9.72,overcast,0.25,21.9,459.2,13.2,3.7,7.01,307.7,27.6,<0.1,0.15,1.63,56.7,,,161.16,71.11,41.37,97.42,3.899,2.28,0.36,4.09,27.08,4.84
6/6/2022,WE12,6.55,0.75,Surface,12:08,41.7021,-83.2551,7.78,overcast,0.75,20.6,265.7,6.7,18.8,7.46,1069.5,9.23,<0.1,<0.1,bdl,3.24,,,39.61,16.02,5.18,34.36,0.353,0.62,0.09,0.58,13.38,1.62
6/6/2022,WE12,,5.9,Bottom,,,,,,,20.4,266.4,7.8,14.1,6.76,0.7,,<0.1,<0.1,bdl,2.92,,,,,,,,,,,,
6/6/2022,WE13,8.81,0.75,Surface,10:43,41.7433,-83.1361,11.08,overcast,1.75,19.7,253,2.5,52.9,8,1222.1,3.42,<0.1,<0.1,bdl,4.37,,,44.2,6.56,0.19,12.04,0.218,0.58,0.08,0.33,4.92,1.2
6/6/2022,WE13,,8.2,Bottom,,,,,,,19.5,255.6,2.3,56.1,7.73,14.2,,<0.1,<0.1,bdl,3.63,,,,,,,,,,,,
6/6/2022,WE16,5.77,0.75,Surface,11:29,41.6574,-83.1449,11.66,overcast,,20.4,252,2.3,56.1,7.46,933.3,6.51,<0.1,<0.1,bdl,2.79,,,26.31,9.76,3.49,22.6,0.26,0.41,0.06,0.34,5.8,0.96
6/21/2022,WE2,5.56,0.75,Surface,12:39,41.7623,-83.3314,5.83,clear,2.5,23.3,306.8,1,77.3,7.12,2086.3,2.9,<0.1,0.16,0.2,3.37,,,24.27,19.39,,,,0.28,0.05,0.83,2.44,0.96
6/21/2022,WE2,,4.6,Bottom,,,,,,,22.2,305.4,1.3,72.5,6.21,185.6,,<0.1,0.13,0.18,3.43,,,,,,,,,,,,
6/21/2022,WE4,8.39,0.75,Surface,9:08,41.8262,-83.1968,13.02,clear,2.5,21,245.4,0.9,80.5,8.28,224,1.25,<0.1,0.17,0.19,4.63,,,13.1,8.12,1.78,10.09,0.38,0.38,0.07,0.32,1.68,0.88
