Date,Site,Station_Depth_m,Sample_Depth_m,Sample_Depth_category,Arrival_Time,Departure_Time,Lat_deg,Long_deg,Wind_speed_ms-1,Sky,Secchi_Depth_m,Temp_C,SpCond_uScm-1,BeamAtten_m-1,Transmiss_pct,DO_mgL-1,PAR_uEcm-2s-1,Turbidity_NTU,Particulate_Microcystin_ugL-1,Dissolved_Microcystin_ugL-1,Extracted_PC_ugL-1,Extracted_CHLa_ugL-1,Total_cyanobacteria_genes_copiesmL-1,mycE_genes_copiesmL-1
4/24/2024,WE2,5.514,1,Surface,14:21,14:36,41.76138333,-83.33268333,4.1,clear,1.5,11.43410303,269.6059697,4.48190303,39.95669091,nd,2929.109091,6.46,bdl,bdl,0.13097342,4.381,19970,bdl
4/24/2024,WE2,,4.5,Bottom,,,,,,,,11.31752105,270.5285263,2.578936842,52.48152105,nd,143.9331579,ns,bdl,bdl,0.08430524,4.28675,ns,ns
4/24/2024,WE4,8.696,1,Surface,9:31,10:00,41.826,-83.19546667,3.6,clear,1.75,9.99065625,226.9281563,2.53051875,55.62303125,10.45945,1421.3875,3.86,bdl,bdl,0.1074689,3.40925,11140,bdl
4/24/2024,WE6,3.015,1,Surface,12:31,12:49,41.705,-83.38661667,4.5,clear,0.25,12.77107857,383.2244286,14.97761071,2.510378571,9.507571429,2370.182143,44.56,bdl,bdl,0.46226304,3.848,29613,bdl
4/24/2024,WE8,5.311,1,Surface,8:35,9:03,41.83405,-83.3582,2,clear,2.25,12.00922774,346.6068323,1.426423226,70.9772271,8.464699355,118.5974194,4.49,bdl,bdl,0.06817104,2.5415,43686,bdl
4/24/2024,WE8,,4.3,Bottom,,,,,,,,12.02636923,337.8381538,1.243238462,73.28550769,10.00714615,7.366792308,ns,bdl,bdl,0.29701176,2.56425,ns,ns
4/24/2024,WE9,2.702,1,Surface,12:59,13:16,41.71753333,-83.42475,6,clear,0.25,14.2112625,428.6271875,24.111775,0.2412375,9.2644875,1260.8875,70,bdl,bdl,0.5206983,6.40575,13705,bdl
4/24/2024,WE12,7.012,1,Surface,11:43,12:04,41.70368333,-83.25518333,5.5,clear,1.25,10.539925,245.852125,5.1676375,29.5308375,11.4717625,1906.7375,5.64,bdl,bdl,0.07437584,3.224,18797,bdl
4/24/2024,WE12,,6,Bottom,,,,,,,,10.4893,245.8111429,3.274821429,44.10302143,9.609171429,29.45221429,ns,bdl,bdl,0.14218228,3.1915,ns,ns
4/24/2024,WE13,9.249,1,Surface,10:22,10:43,41.7425,-83.13608333,4.7,clear,2.25,10.34608,270.79412,2.689708,53.306424,10.82012,1654.2056,3.27,bdl,bdl,0.06068216,3.3475,18054,bdl
