,station_name,timestamp,lat,lon,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,turbidity,tss,vss,cdom,date
52,WE 2012.6,2012-09-05 11:00:00,41.4833,-82.6983,3.51,,32.87,65.84,,,,,9/5/2012
53,WE 2012.7,2012-09-05 11:54:00,41.5606,-82.9072,2.06,,2.61,5.21,,,,,9/5/2012
54,WE2,2012-09-12 09:44:00,41.7619,-83.3287,0.01,,6.49,18.93,,8.65,2.25,,9/12/2012
55,WE4,2012-09-12 09:08:00,41.827,-83.194,0.35,,1.21,5.29,,2.16,0.72,,9/12/2012
56,WE6,2012-09-12 08:33:00,41.8389,-83.3629,0.94,,19.04,37.58,,21.0,9.23,,9/12/2012
57,WE8,2012-09-12 10:08:00,41.7085,-83.3827,3.07,,26.57,48.62,,31.47,7.33,,9/12/2012
58,WE2,2012-09-17 11:06:00,41.7636,-83.3272,0.78,,3.11,10.78,,12.13,2.58,,9/17/2012
59,WE4,2012-09-17 10:31:00,41.8264,-83.1936,0.18,,11.29,11.87,,3.29,1.65,,9/17/2012
60,WE6,2012-09-17 12:17:00,41.7071,-83.385,1.29,,14.49,29.61,,17.1,7.17,,9/17/2012
61,WE8,2012-09-17 10:02:00,41.8382,-83.3639,0.34,,4.83,13.63,,21.83,4.37,,9/17/2012
62,WE2,2013-05-29 10:27:00,41.764,-83.3275,0.01,,0.31,4.96,16.1,18.7,2.1,,5/29/2013
63,WE4,2013-05-29 09:50:00,41.8267,-83.193,0.01,,0.19,4.34,4.36,5.47,1.0,,5/29/2013
64,WE6,2013-05-29 10:57:00,41.7134,-83.3804,0.01,,0.39,2.15,8.44,12.8,1.88,,5/29/2013
65,WE8,2013-05-29 09:13:00,41.8343,-83.3633,0.01,,0.32,3.65,9.98,10.07,1.67,,5/29/2013
66,WE2,2013-06-10 12:05:00,41.764,-83.3275,0.01,,2.67,11.81,32.8,30.07,3.87,,6/10/2013
67,WE4,2013-06-10 12:37:00,41.8272,-83.1935,0.01,,0.56,9.83,7.13,8.95,1.58,,6/10/2013
68,WE6,2013-06-10 11:42:00,41.7144,-83.3805,0.01,,3.45,23.39,21.5,24.5,2.83,,6/10/2013
69,WE8,2013-06-10 14:00:00,41.8353,-83.3631,0.01,,0.36,5.3,15.7,17.77,2.3,,6/10/2013
70,WE2,2013-06-17 11:32:00,41.7643,-83.3269,0.01,,0.96,17.66,2.52,4.46,2.15,,6/17/2013
71,WE4,2013-06-17 10:58:00,41.8282,-83.1951,0.01,,0.37,4.18,1.88,2.01,0.67,,6/17/2013
72,WE6,2013-06-17 11:53:00,41.7099,-83.3811,0.44,,8.45,47.69,4.74,6.87,3.65,,6/17/2013
73,WE8,2013-06-17 10:24:00,41.8346,-83.3645,0.15,,1.8,3.42,2.54,2.4,0.77,,6/17/2013
74,WE2,2013-06-24 11:13:00,41.7639,-83.3266,0.01,,0.3,4.0,3.66,3.63,0.8,,6/24/2013
75,WE4,2013-06-24 10:36:00,41.8272,-83.1954,0.01,,0.61,10.76,1.21,2.61,1.41,,6/24/2013
76,WE6,2013-06-24 12:44:00,41.7119,-83.3795,0.01,,0.41,3.27,2.65,2.49,0.76,,6/24/2013
77,WE8,2013-06-24 10:02:00,41.8343,-83.3631,0.01,,0.22,1.64,2.82,2.61,0.43,,6/24/2013
78,WE2,2013-07-03 10:52:00,41.7638,-83.3283,0.01,,0.76,6.08,30.5,49.3,4.0,,7/3/2013
79,WE4,2013-07-03 10:22:00,41.8278,-83.1944,0.01,,0.19,3.3,8.28,8.83,0.93,,7/3/2013
80,WE6,2013-07-03 11:13:00,41.7085,-83.3812,0.01,,0.73,5.67,22.7,36.35,3.6,,7/3/2013
81,WE8,2013-07-03 09:46:00,41.8344,-83.3633,0.01,,0.29,2.77,6.98,6.86,0.91,,7/3/2013
82,WE2,2013-07-08 10:59:00,41.764,-83.3276,0.01,,0.62,9.58,3.78,3.63,0.73,,7/8/2013
83,WE4,2013-07-08 10:28:00,41.8275,-83.1957,0.01,,1.53,13.45,1.83,2.7,2.82,,7/8/2013
84,WE6,2013-07-08 11:20:00,41.7101,-83.3832,0.01,,0.21,0.71,2.22,1.54,0.29,,7/8/2013
85,WE8,2013-07-08 09:54:00,41.8339,-83.3636,0.01,,1.05,6.19,2.41,3.16,0.79,,7/8/2013
86,WE2,2013-07-15 13:44:00,41.7638,-83.3284,0.27,,2.88,45.92,7.51,9.88,3.09,,7/15/2013
87,WE4,2013-07-15 12:30:00,41.8277,-83.1942,0.26,,1.33,17.28,1.22,1.74,1.03,,7/15/2013
88,WE6,2013-07-15 14:08:00,41.7076,-83.3833,0.01,,3.46,61.41,6.01,10.32,5.02,,7/15/2013
89,WE8,2013-07-15 11:41:00,41.8333,-83.3649,0.51,,5.43,34.21,3.84,5.78,2.79,,7/15/2013
90,WE 2013.1,2013-07-15 11:57:00,41.833,-83.322,14.28,,192.52,147.51,32.0,24.6,21.18,,7/15/2013
91,WE2,2013-07-17 13:20:00,41.7635,-83.3285,0.01,,6.0,40.8,5.09,2.41,1.58,,7/17/2013
92,WE4,2013-07-17 11:50:00,41.8268,-83.1944,0.2,,1.68,9.54,1.39,7.71,3.59,,7/17/2013
93,WE8,2013-07-17 00:00:00,41.8348,-83.3644,0.45,,11.19,38.68,5.36,4.9,2.42,,7/17/2013
94,WE 2013.2,2013-07-17 10:55:00,41.8356,-83.3441,4.63,,26.61,76.93,16.2,14.1,9.58,,7/17/2013
95,WE2,2013-07-22 11:50:00,41.9148,-83.3253,0.23,,4.71,35.76,6.64,8.57,2.79,,7/22/2013
96,WE4,2013-07-22 11:25:00,41.8281,-83.1966,0.01,,2.44,2.54,0.74,1.0,0.42,,7/22/2013
97,WE6,2013-07-22 12:19:00,41.7107,-83.3812,0.22,,7.67,117.66,11.7,17.16,5.9,,7/22/2013
98,WE8,2013-07-22 10:25:00,41.834,-83.3642,0.16,,1.16,5.05,11.0,4.38,1.43,,7/22/2013
99,WE2,2013-07-29 09:02:00,41.7642,-83.3278,3.13,,13.45,21.02,5.91,4.96,2.8,,7/29/2013
100,WE4,2013-07-29 10:04:00,41.8266,-83.1925,0.01,,0.29,4.4,0.68,1.05,0.38,,7/29/2013
101,WE6,2013-07-29 09:23:00,41.7096,-83.381,3.86,,21.43,15.15,7.09,3.86,2.09,,7/29/2013
102,WE8,2013-07-29 08:42:00,41.8344,-83.3627,2.59,,9.58,18.52,5.54,6.01,1.86,,7/29/2013
103,WE2,2013-07-30 00:00:00,41.7639,-83.3274,8.49,,25.81,30.16,7.53,,,,7/30/2013
104,WE 2013.3,2013-07-30 00:00:00,41.8261,-83.3837,41.47,,474.59,167.9,34.5,,,,7/30/2013
105,WE 2013.4,2013-08-02 09:32:00,41.866,-83.3003,4.45,,46.8,31.79,15.3,70.6,39.3,,8/2/2013
106,WE2,2013-08-05 10:28:00,41.7638,-83.3298,1.6,,14.77,19.35,4.48,3.45,1.99,,8/5/2013
107,WE4,2013-08-05 12:37:00,41.827,-83.1932,1.36,,11.14,26.8,4.63,5.07,2.99,,8/5/2013
108,WE6,2013-08-05 10:53:00,41.7112,-83.3817,28.52,,95.22,181.35,23.5,21.9,16.06,,8/5/2013
109,WE8,2013-08-05 13:46:00,41.8341,-83.3606,6.93,,146.26,52.0,12.1,11.06,7.34,,8/5/2013
110,WE 2013.5,2013-08-05 11:54:00,41.7171,-83.3041,15.99,,105.42,75.4,24.5,12.27,8.78,,8/5/2013
111,WE 2013.6,2013-08-05 13:15:00,41.9272,-83.3097,6.05,,30.42,35.87,10.5,9.23,5.24,,8/5/2013
112,WE 2013.7,2013-08-05 14:06:00,41.8283,-83.4046,21.85,,199.32,179.82,45.7,30.84,24.52,,8/5/2013
113,WE2,2013-08-12 10:23:00,41.7627,-83.3312,12.29,,99.97,84.51,11.2,11.88,8.08,,8/12/2013
